timestamp_ticks,amp_1,amp_2,amp_3,vol_sys,amp_sys,lum,r_l,b_l,fr_l,control_effort,elapsed_time_seconds
2622448,-0.1146467849612236,0.014683665707707405,1.6705843210220337,11.972705841064453,-0.2599292993545532,2532.0,4.3543500900268555,12.72439956665039,5.459255695343018,24.299999237060547,2642.3288836479187
2622675,-0.07879985868930817,0.010797491297125816,1.6835309267044067,11.973488807678223,-0.25695914030075073,2448.0,4.316070079803467,12.058815956115723,5.416983127593994,24.299999237060547,2642.5353310108185
2622902,-0.026513343676924706,0.0022812860552221537,1.7096284627914429,11.976228713989258,-0.3121895492076874,2524.0,4.3543500900268555,12.763551712036133,5.461268901824951,24.299999237060547,2642.818536043167
2623128,-0.14097890257835388,0.005466518457978964,1.6999082565307617,11.977010726928711,-0.3065928518772125,12.0,4.3543500900268555,12.430760383605957,5.461268901824951,0.0,2643.0214579105377
2623355,-0.11599576473236084,-0.020516013726592064,1.7873082160949707,11.977402687072754,-0.36766543984413147,12.0,0.019140001386404037,0.19575999677181244,0.012078000232577324,0.0,2643.2442383766174
2623582,-0.06183866783976555,-0.011351318098604679,1.7875124216079712,11.980142593383789,-0.36761632561683655,12.0,0.019140001386404037,0.19575999677181244,0.012078000232577324,0.0,2643.620235681534
2623809,-0.07725302875041962,-0.01554266456514597,1.780814528465271,11.981511116027832,-0.31778621673583984,12.0,0.019140001386404037,0.19575999677181244,0.012078000232577324,0.0,2643.722099304199
2624036,-0.07975313812494278,-0.00663068937137723,1.7330304384231567,11.984055519104004,-0.2621139883995056,12.0,0.019140001386404037,0.19575999677181244,0.012078000232577324,0.0,2643.9431653022766
2624263,-0.06388911604881287,-0.009443992748856544,1.69453763961792,11.988358497619629,-0.16773132979869843,12.0,0.019140001386404037,0.19575999677181244,0.012078000232577324,0.0,2644.1636238098145
2624489,-0.09139034897089005,-0.025012532249093056,1.7545944452285767,11.990315437316895,-0.2689134478569031,12.0,0.019140001386404037,0.19575999677181244,0.012078000232577324,0.0,2644.3980453014374
2624716,-0.10532982647418976,-0.0446341373026371,1.8392785787582397,11.995794296264648,-0.41484448313713074,12.0,0.019140001386404037,0.19575999677181244,0.012078000232577324,0.0,2644.607472896576
2624942,-0.0881887674331665,-0.07617174834012985,2.0025203227996826,11.998337745666504,-0.5368422865867615,12.0,0.019140001386404037,0.19575999677181244,0.012078000232577324,0.0,2644.8669004440308
2625169,-0.13268716633319855,-0.07872756570577621,2.005767345428467,11.999707221984863,-0.5531905293464661,12.0,0.019140001386404037,0.19575999677181244,0.012078000232577324,0.0,2645.0747079849243
2625396,-0.06556185334920883,-0.0956646129488945,2.043381929397583,12.002250671386719,-0.527244508266449,12.0,0.019140001386404037,0.19575999677181244,0.012078000232577324,0.0,2645.3062274456024
2625623,-0.038258474320173264,-0.12625810503959656,2.203336000442505,12.007730484008789,-0.7100203633308411,12.0,0.019140001386404037,0.19575999677181244,0.012078000232577324,0.0,2645.5149631500244
