Tiempo_s,fr_l,u
5248.206,3.5046329498291,70.1999969482422
5248.433,6.53822374343872,70.1999969482422
5248.66,6.70932865142822,70.1999969482422
5248.886,6.71134185791016,92.1999969482422
5249.113,8.7847318649292,92.1999969482422
5249.34,8.85719966888428,92.1999969482422
5249.567,8.79681015014648,92.1999969482422
5249.794,8.79681015014648,92.1999969482422
5250.02,8.8048620223999,92.1999969482422
5250.247,8.80284881591797,92.1999969482422
5250.475,8.80284881591797,92.1999969482422
5250.702,8.82297897338867,92.1999969482422
5250.928,8.82901763916016,92.1999969482422
5251.155,8.8048620223999,92.1999969482422
5251.382,8.80687522888184,92.1999969482422
5251.608,8.80888748168945,92.1999969482422
5251.835,8.80888748168945,92.1999969482422
5252.062,8.83304405212402,92.1999969482422
5252.288,8.8189525604248,92.1999969482422
5252.515,8.81090068817139,92.1999969482422
5252.742,8.81693935394287,92.1999969482422
5252.969,8.81291389465332,92.1999969482422
5253.196,8.81492710113525,92.1999969482422
5253.423,8.81291389465332,48.2999992370605
5253.651,4.53528881072998,48.2999992370605
5253.878,4.53126287460327,48.2999992370605
5254.106,4.36619710922241,48.2999992370605
5254.333,4.36015796661377,48.2999992370605
5254.56,4.52723693847656,48.2999992370605
5254.787,4.36015796661377,48.2999992370605
5255.014,4.52723693847656,48.2999992370605
5255.241,4.35814476013184,48.2999992370605
5255.468,4.46080780029297,47.2000007629395
5255.695,4.24541711807251,47.2000007629395
5255.921,4.24742984771729,47.2000007629395
5256.148,4.41652202606201,47.2000007629395
5256.374,4.41450881958008,47.2000007629395
5256.6,1.28228092193604,8.5
5256.826,0.652211964130402,8.5
5257.053,0.658250987529755,8.5
5257.279,0.658250987529755,8.5
5257.506,0.658250987529755,8.5
5257.733,0.656237959861755,8.5
5257.959,0.658250987529755,8.5
5258.186,0.658250987529755,8.5
5258.413,0.658250987529755,8.5
5258.64,0.656237959861755,8.5
5258.867,0.656237959861755,8.5
5259.094,0.656237959861755,8.5
5259.321,0.658250987529755,8.5
5259.548,0.656237959861755,8.5
5259.775,0.656237959861755,8.5
5260.002,0.656237959861755,8.5
5260.229,0.656237959861755,8.5
5260.456,0.656237959861755,8.5
